TOWNCODE,TOWNENG,COUNTYNAME,TOWNNAME,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
10009140,Yunlin_DongshiTownship,雲林縣,東勢鄉,17370,17170,16780,16379,16100,15810,15865,15391,15120,14893,14766,14416,14155,13849,13642,13399,13197,12885
10009150,Yunlin_BaozhongTownship,雲林縣,褒忠鄉,14624,14623,14251,13997,13869,13706,13605,13349,13167,13010,12912,12682,12477,12279,12143,11889,11777,11490
10009170,Yunlin_YuanchangTownship,雲林縣,元長鄉,29388,29325,28795,28367,28002,27640,27307,26857,26361,25980,25643,25118,24694,24177,23713,23371,23020,22478
10009200,Yunlin_ShuilinTownship,雲林縣,水林鄉,29542,29485,28946,28303,27828,27285,27017,26525,26071,25624,25308,24744,24177,23737,23242,22740,22426,21805
10009160,Yunlin_TaixiTownship,雲林縣,臺西鄉,26986,26563,26223,25662,25068,24897,24995,24576,24212,23954,23730,23312,23012,22558,22151,21739,21424,20778
10009180,Yunlin_SihuTownship,雲林縣,四湖鄉,27462,27252,26694,26316,25907,25501,25415,24742,24151,23667,23209,22749,22387,21891,21582,21017,20698,20210
10009190,Yunlin_KouhuTownship,雲林縣,口湖鄉,31030,30894,30392,29898,29646,29344,29017,28489,28074,27653,27276,26830,26403,25976,25566,24985,24592,23945
65000040,NewTaipei_YongheDistrict,新北市,永和區,236598,236812,234536,232386,230768,229062,227267,225409,223999,222585,221098,220595,219364,214967,212170,214771,213742,211536
65000060,NewTaipei_XindianDistrict,新北市,新店區,292693,294602,296411,296581,297637,299017,299730,300267,301168,302089,302231,303445,303532,299696,298594,304868,306571,306884
65000130,NewTaipei_TuchengDistrict,新北市,土城區,238230,238897,238477,239156,239717,239258,239270,238703,238500,238067,236901,237696,238277,237484,237538,240828,241224,242713
65000140,NewTaipei_LuzhouDistrict,新北市,蘆洲區,194686,197043,197793,198373,199490,199426,199750,200095,200702,201309,201332,201883,202456,201489,199811,200022,198359,196371
65000150,NewTaipei_WuguDistrict,新北市,五股區,77754,79149,79958,80518,81225,81744,82255,82923,84134,84919,86329,88000,89470,90465,91436,92754,93860,94717
65000200,NewTaipei_PinglinDistrict,新北市,坪林區,6541,6549,6537,6533,6483,6460,6455,6490,6538,6528,6612,6689,6703,6619,6553,6446,6324,6163
65000240,NewTaipei_PingxiDistrict,新北市,平溪區,5520,5447,5344,5197,5109,5002,4954,4874,4778,4719,4666,4546,4424,4333,4268,4134,4049,3900
65000290,NewTaipei_WulaiDistrict,新北市,烏來區,5603,5748,5811,5927,5975,6036,6165,6187,6212,6320,6438,6433,6416,6391,6359,6360,6309,6199
65000100,NewTaipei_TamsuiDistrict,新北市,淡水區,135355,140156,143481,146756,150687,155241,158953,162221,165765,169597,173502,178610,183278,185197,187823,194399,200726,208004
65000120,NewTaipei_RuifangDistrict,新北市,瑞芳區,43088,42713,42432,42031,41617,41490,41315,40976,40600,40353,39982,39536,39077,38449,37695,37197,36330,35623
65000170,NewTaipei_LinkouDistrict,新北市,林口區,72964,78462,83165,86628,89886,94108,97645,100350,103219,106101,110081,115582,121192,124628,127887,132947,136075,138461
65000210,NewTaipei_SanzhiDistrict,新北市,三芝區,23479,23369,23263,23319,23460,23464,23480,23487,23369,23200,22978,22768,22540,22357,22228,22137,22080,22061
65000230,NewTaipei_BaliDistrict,新北市,八里區,33231,33958,34791,35423,35721,36201,37187,37678,38167,38493,38906,39531,39741,40178,40902,41966,42674,43495
65000090,NewTaipei_SanxiaDistrict,新北市,三峽區,97967,100637,103450,105629,107794,110010,111588,112708,114180,114926,115820,116478,116917,116019,115274,115608,115335,115009
65000080,NewTaipei_YinggeDistrict,新北市,鶯歌區,86258,86589,86821,87683,88336,88637,89075,87965,87231,86593,86361,86869,87674,88131,88406,89080,89339,89501
65000030,NewTaipei_ZhongheDistrict,新北市,中和區,412060,414535,414356,414939,416499,415742,415226,414304,414266,413590,412486,413069,411214,406140,403109,407273,405956,403791
65000070,NewTaipei_ShulinDistrict,新北市,樹林區,168689,172300,176077,179788,182012,183407,184167,184249,184400,184149,183946,183926,183470,181903,180067,180658,178981,177412
65000180,NewTaipei_ShenkengDistrict,新北市,深坑區,22829,23108,23241,23531,23569,23622,23636,23594,23683,23660,23634,23725,23723,23646,23528,23689,23636,23639
65000010,NewTaipei_BanqiaoDistrict,新北市,板橋區,550767,552884,554596,555335,557440,556920,555914,554236,552285,551480,554742,556897,557114,552713,549572,554247,553538,549762
65000190,NewTaipei_ShidingDistrict,新北市,石碇區,7847,7973,7973,7887,7895,7848,7864,7855,7736,7683,7731,7629,7565,7487,7292,7166,7068,6917
65000050,NewTaipei_XinzhuangDistrict,新北市,新莊區,398317,400848,402204,404089,407012,409760,411711,413243,414156,416524,417754,420473,422653,421381,419966,423607,423503,421239
65000160,NewTaipei_TaishanDistrict,新北市,泰山區,75830,76491,76470,77057,77617,77939,78370,78707,78817,78911,78708,78751,78412,77451,76982,77491,77667,78083
65000020,NewTaipei_SanchongDistrict,新北市,三重區,384722,388304,389968,390421,390090,389813,389325,388447,388581,387484,385826,386336,385328,381731,379825,383108,383355,382778
65000250,NewTaipei_ShuangxiDistrict,新北市,雙溪區,9877,9832,9729,9555,9465,9412,9450,9245,9074,8939,8860,8665,8468,8235,8102,7915,7686,7442
65000260,NewTaipei_GongliaoDistrict,新北市,貢寮區,13970,13876,13776,13538,13412,13306,13115,12860,12706,12552,12301,12033,11782,11534,11260,10981,10719,10445
65000110,NewTaipei_XizhiDistrict,新北市,汐止區,183441,186979,189618,190679,192676,194200,195140,196028,197749,199321,200535,203429,205847,205990,206265,209481,210817,212758
65000280,NewTaipei_WanliDistrict,新北市,萬里區,21085,21604,22009,22204,22429,22618,22678,22642,22490,22296,22068,21872,21710,21462,21101,20869,20622,20209
65000270,NewTaipei_JinshanDistrict,新北市,金山區,22306,22408,22380,22447,22486,22392,22400,22260,22207,22015,21774,21396,21127,20844,20577,20366,20059,19725
65000220,NewTaipei_ShimenDistrict,新北市,石門區,12023,12380,12700,12841,12798,12794,12733,12641,12496,12286,12115,11834,11480,11193,10961,10752,10397,9994
10018020,HsinchuCity_NorthDistrict,新竹市,北區,141823,144484,145441,146212,147561,148041,148753,149156,149993,150636,151679,152351,152612,152348,152118,153759,153897,153915
10018030,HsinchuCity_XiangshanDistrict,新竹市,香山區,71152,72176,72649,73748,74391,75864,76392,76762,77518,77943,78390,78611,78744,78641,78698,78890,79302,79606
10018010,HsinchuCity_EastDistrict,新竹市,東區,192396,194927,197254,200092,203119,204578,206843,208142,209826,212553,215566,217841,220056,221651,221657,223826,224043,222219
10004110,Hsinchu_EmeiTownship,新竹縣,峨眉鄉,6062,6133,5999,5904,5831,5764,5744,5642,5593,5538,5587,5479,5403,5309,5319,5192,5081,4970
10004020,Hsinchu_ZhudongTownship,新竹縣,竹東鎮,97086,97089,96751,96421,96594,96326,96059,96311,96817,96918,96380,97127,97100,96590,96375,96906,97733,97894
10004030,Hsinchu_XinpuTownship,新竹縣,新埔鎮,36085,36012,35495,35240,34960,34674,34427,34111,33737,33415,33104,32798,33027,32975,33055,33234,33464,33561
10004040,Hsinchu_GuanxiTownship,新竹縣,關西鎮,32451,32431,31775,31553,31239,30919,30751,29936,29408,28896,28537,28055,27775,27377,27099,26825,26388,26011
10004050,Hsinchu_HukouTownship,新竹縣,湖口鄉,75066,75546,75408,75921,76501,76753,77210,77280,77524,77444,77668,77908,78971,79602,81232,82617,83748,84963
10004070,Hsinchu_QionglinTownship,新竹縣,芎林鄉,20879,20963,20778,20519,20354,20256,20301,20284,20165,20061,20025,19934,19872,19936,20159,20377,20404,20385
10004080,Hsinchu_HengshanTownship,新竹縣,橫山鄉,14590,14772,14368,14200,14013,13912,13810,13515,13298,13064,12942,12789,12547,12343,12212,12186,11990,11901
10004090,Hsinchu_BeipuTownship,新竹縣,北埔鄉,10262,10289,10119,9994,9883,9838,9784,9691,9531,9390,9335,9178,9035,8797,8672,8543,8396,8289
10004120,Hsinchu_JianshiTownship,新竹縣,尖石鄉,8161,8351,8439,8731,8964,9167,9506,9417,9412,9543,9695,9638,9646,9577,9574,9552,9523,9464
10004130,Hsinchu_WufengTownship,新竹縣,五峰鄉,4413,4676,4665,4616,4525,4539,4729,4615,4562,4559,4774,4593,4487,4473,4543,4442,4439,4397
10004010,Hsinchu_ZhubeiCity,新竹縣,竹北市,132136,137861,141852,146826,152617,158849,165118,170790,176604,181955,187336,194516,200782,206189,209221,215952,219605,220973
10004060,Hsinchu_XinfengTownship,新竹縣,新豐鄉,52334,52761,53288,53610,54427,55386,55826,56125,56452,56836,56980,57292,57511,57908,58651,58956,59336,59839
10004100,Hsinchu_BaoshanTownship,新竹縣,寶山鄉,13748,13998,14078,14106,14085,14103,14365,14325,14378,14550,14647,14626,14619,14504,14391,14507,14534,14588
10020010,ChiayiCity_EastDistrict,嘉義市,東區,128284,127736,125297,124495,124242,123821,123370,122900,122462,122103,121162,120825,119715,118956,117826,117993,117300,116567
10020020,ChiayiCity_WestDistrict,嘉義市,西區,145509,146125,147093,147031,146978,147051,147513,147466,147412,147295,147460,146865,146290,145771,145098,145591,144877,145025
10010010,Chiayi_TaibaoCity,嘉義縣,太保市,35896,36210,36685,36673,36946,37023,37038,37212,37497,37781,38069,38301,38536,38571,38919,39299,39342,39923
10010130,Chiayi_ZhongpuTownship,嘉義縣,中埔鄉,47840,47790,47579,47291,47025,46694,46156,45724,45395,44974,44584,44325,44131,43602,43048,42690,42190,41673
10010160,Chiayi_FanluTownship,嘉義縣,番路鄉,11619,11730,11684,11881,12227,12174,12089,11865,11695,11599,11430,11262,11180,11033,10938,10867,10697,10582
10010120,Chiayi_ShuishangTownship,嘉義縣,水上鄉,53130,52562,52274,51793,51497,51289,50726,50431,50084,49744,49316,49195,49012,48529,47912,47727,47366,46932
10010090,Chiayi_DongshiTownship,嘉義縣,東石鄉,28399,28224,27741,27202,26713,26305,26235,25751,25307,24969,24580,24194,23766,23464,23144,22749,22201,21671
10010020,Chiayi_PuziCity,嘉義縣,朴子市,44281,44326,44093,43895,43855,43599,43250,42956,42585,42382,42112,41855,41669,41256,40882,40705,40409,39950
10010040,Chiayi_DalinTownship,嘉義縣,大林鎮,34101,33982,33635,33207,32917,32593,32159,31697,31379,31198,30896,30684,30381,30068,29744,29815,29610,29542
10010050,Chiayi_MinxiongTownship,嘉義縣,民雄鄉,72641,72793,72539,72451,72286,72096,71903,71862,71834,71693,71367,71362,71317,70675,70298,70248,69923,69716
10010060,Chiayi_XikouTownship,嘉義縣,溪口鄉,16695,16563,16269,16015,15823,15546,15393,15113,14933,14751,14592,14283,14055,13761,13463,13238,12944,12604
10010070,Chiayi_XingangTownship,嘉義縣,新港鄉,35149,34995,34676,34231,33830,33507,33186,32797,32385,31935,31723,31420,31162,30705,30302,30094,29617,29006
10010080,Chiayi_LiujiaoTownship,嘉義縣,六腳鄉,27041,26890,26379,25903,25356,24947,24613,24202,23787,23318,22960,22540,22196,21774,21331,20889,20497,20044
10010100,Chiayi_YizhuTownship,嘉義縣,義竹鄉,21671,21617,21129,20653,20158,19856,19578,19258,18822,18486,18242,17883,17602,17232,16994,16633,16163,15829
10010110,Chiayi_LucaoTownship,嘉義縣,鹿草鄉,17429,17405,17232,17022,16832,16652,16384,16119,15808,15577,15358,15118,14913,14658,14426,14123,13891,13460
10010140,Chiayi_ZhuqiTownship,嘉義縣,竹崎鄉,39155,38962,38608,38179,37923,37372,36924,36546,36226,35962,35584,35207,34797,34190,33792,33308,32759,32160
10010150,Chiayi_MeishanTownship,嘉義縣,梅山鄉,22184,22049,21634,21171,20842,20576,20304,20010,19800,19475,19282,18963,18687,18324,18052,17805,17497,17177
10010170,Chiayi_DapuTownship,嘉義縣,大埔鄉,4434,4572,4649,4554,4547,4567,4658,4621,4610,4564,4603,4596,4560,4533,4476,4444,4323,4160
10010180,Chiayi_AlishanTownship,嘉義縣,阿里山鄉,6178,6222,6226,6157,5702,5732,5764,5721,5664,5631,5597,5544,5527,5420,5381,5304,5236,5163
10010030,Chiayi_BudaiTownship,嘉義縣,布袋鎮,30888,30824,30216,29664,29244,28701,28423,27954,27509,27143,26773,26381,25990,25521,25056,24622,24121,23589
10007120,Changhua_TianzhongTownship,彰化縣,田中鎮,44769,44499,44065,43652,43428,43106,42745,42490,42152,41890,41541,41244,40717,40123,39693,39336,38819,38273
10007170,Changhua_ShetouTownship,彰化縣,社頭鄉,45231,45038,44767,44418,44211,43868,43705,43492,43342,43144,42882,42573,42436,42026,41606,41415,40842,40272
10007100,Changhua_YuanlinCity,彰化縣,員林市,125962,125838,125476,125144,125141,124938,124725,124837,124932,124632,124890,125008,124263,122757,122367,123004,122742,122148
10007010,Changhua_ChanghuaCity,彰化縣,彰化市,236631,237160,236503,236646,236636,236172,235022,235010,234690,233613,232729,232259,231317,228470,226519,226046,223689,220487
10007030,Changhua_HemeiTownship,彰化縣,和美鎮,89386,89624,89723,90173,90298,90541,90741,91113,91162,90986,90782,90530,90095,89558,88666,88046,87370,86635
10007040,Changhua_XianxiTownship,彰化縣,線西鄉,17030,17081,17138,16998,17056,17123,17119,17040,16939,16928,16860,16733,16665,16486,16303,16203,16182,16014
10007050,Changhua_ShengangTownship,彰化縣,伸港鄉,35825,35942,35964,35985,36037,36114,36182,36464,36756,36957,37121,37449,37740,37838,37948,38491,38422,38146
10007070,Changhua_XiushuiTownship,彰化縣,秀水鄉,38968,38985,39122,39273,39429,39385,39326,39352,39344,39357,39291,39068,38872,38633,38258,38141,37773,37356
10007080,Changhua_HuatanTownship,彰化縣,花壇鄉,46193,46238,46187,46047,46017,45987,45916,45984,46142,45924,45853,45566,45232,44795,44296,43936,43338,42816
10007090,Changhua_FenyuanTownship,彰化縣,芬園鄉,25090,24980,24814,24670,24457,24258,24155,24003,23881,23755,23583,23383,23188,22827,22456,22202,21772,21334
10007110,Changhua_XihuTownship,彰化縣,溪湖鎮,56449,56260,56119,55918,55899,55802,55788,55742,55675,55686,55365,55185,54814,54340,54056,53898,53385,52832
10007130,Changhua_DacunTownship,彰化縣,大村鄉,36501,36646,36597,36533,36469,36452,36457,36531,36762,36870,36968,37124,38457,39835,40392,40104,39474,38919
10007140,Changhua_PuyanTownship,彰化縣,埔鹽鄉,34667,34565,34284,34082,33712,33456,33184,32954,32782,32587,32460,32183,31919,31682,31349,31048,30546,30041
10007150,Changhua_PuxinTownship,彰化縣,埔心鄉,35498,35410,35325,35278,35186,35034,34905,34833,34788,34836,34745,34734,34451,34037,33813,33625,33366,33082
10007160,Changhua_YongjingTownship,彰化縣,永靖鄉,39595,39607,39269,38907,38718,38530,38200,37985,37773,37334,36962,36651,36300,35879,35464,35166,34664,34177
10007180,Changhua_ErshuiTownship,彰化縣,二水鄉,16929,16749,16520,16345,16133,15999,15830,15629,15500,15325,15153,14843,14642,14377,14168,13855,13547,13220
10007200,Changhua_ErlinTownship,彰化縣,二林鎮,54795,54479,53939,53552,53198,52864,52330,51882,51516,50980,50536,50075,49687,49082,48390,47898,47119,46419
10007220,Changhua_PitouTownship,彰化縣,埤頭鄉,32015,32008,31771,31501,31415,31221,31045,30869,30797,30642,30508,30394,30072,29706,29293,28946,28484,27997
10007230,Changhua_FangyuanTownship,彰化縣,芳苑鄉,36784,36637,36320,35752,35337,35104,34744,34352,34039,33714,33489,33084,32720,32110,31614,31131,30614,29880
10007240,Changhua_DachengTownship,彰化縣,大城鄉,19094,19151,18936,18639,18337,18043,17797,17516,17284,16987,16717,16359,16119,15733,15455,14992,14548,14146
10007250,Changhua_ZhutangTownship,彰化縣,竹塘鄉,16616,16693,16470,16365,16201,16040,15863,15638,15491,15303,15095,14926,14808,14584,14370,14297,14160,13918
10007260,Changhua_XizhouTownship,彰化縣,溪州鄉,32031,31862,31552,31326,31183,30862,30753,30539,30391,30060,29760,29411,29158,28949,28620,28248,27695,27248
10007020,Changhua_LukangTownship,彰化縣,鹿港鎮,85340,85364,85325,85476,85858,85964,86100,86407,86709,86799,86818,86931,86550,85837,85370,84643,83588,82212
10007060,Changhua_FuxingTownship,彰化縣,福興鄉,49005,49130,48945,48625,48182,48015,47810,47618,47479,47332,47059,46748,46399,45956,45445,45186,44773,44284
10007190,Changhua_BeidouTownship,彰化縣,北斗鎮,33620,33631,33516,33379,33280,33151,33198,33225,33253,33355,33321,33348,33358,33303,33259,33294,33238,33099
10007210,Changhua_TianweiTownship,彰化縣,田尾鄉,28911,28890,28639,28355,28050,27984,27834,27567,27567,27462,27336,26993,26691,26407,26069,25897,25525,25251
66000250,Taichung_LongjingDistrict,臺中市,龍井區,73041,73934,74474,74682,75138,75664,76164,76666,77236,77818,77998,78027,78095,77976,77887,78413,79030,79241
66000180,Taichung_DayaDistrict,臺中市,大雅區,88864,89499,89825,90591,91367,91939,92628,93661,94488,95203,95815,95772,95693,95521,95275,95708,95229,94741
66000130,Taichung_ShaluDistrict,臺中市,沙鹿區,79553,80640,81534,83238,84797,86305,87742,89592,91338,92645,94079,94755,95226,96039,97002,98805,100152,101419
66000140,Taichung_WuqiDistrict,臺中市,梧棲區,54748,54943,55262,55544,55857,56008,56643,57108,57645,57993,58218,58921,59273,59517,59848,61019,62701,65685
66000090,Taichung_FengyuanDistrict,臺中市,豐原區,165238,165245,165433,165609,166085,166090,166458,166749,166778,166879,167025,166875,166053,164726,163476,163948,163163,161771
66000100,Taichung_DongshiDistrict,臺中市,東勢區,54201,53696,53259,52780,52403,51953,51485,51308,50952,50714,50256,49773,49169,48333,47817,47468,47088,46488
66000150,Taichung_HouliDistrict,臺中市,后里區,54566,54401,54287,54033,54089,54076,54106,54344,54332,54482,54775,54666,54343,53961,53667,53653,53309,52754
66000160,Taichung_ShengangDistrict,臺中市,神岡區,64159,63982,63753,63921,64534,64899,64956,65178,65496,65553,65711,65679,65529,64841,64308,64362,64007,63271
66000190,Taichung_XinsheDistrict,臺中市,新社區,25819,25761,25637,25495,25378,25322,25242,25086,24947,24754,24576,24289,24064,23650,23283,23089,22849,22579
66000200,Taichung_ShigangDistrict,臺中市,石岡區,16162,16146,15976,15792,15763,15636,15405,15295,15174,15066,14956,14758,14670,14419,14154,14093,13877,13668
66000210,Taichung_WaipuDistrict,臺中市,外埔區,31986,32007,32051,32005,31797,31845,31800,31899,32034,32185,32230,32224,31940,31564,31264,31163,30902,30823
66000240,Taichung_DaduDistrict,臺中市,大肚區,55945,55874,55725,55739,55863,55995,56364,56627,57207,57322,57324,57085,56777,56458,56129,55955,55708,55255
66000290,Taichung_HepingDistrict,臺中市,和平區,10803,10730,10743,10683,10556,10589,10825,10726,10795,10949,11015,10902,10809,10870,10919,10794,10656,10469
66000110,Taichung_DajiaDistrict,臺中市,大甲區,78917,78707,78387,78118,77986,77847,77607,77714,77656,77761,77625,76822,76130,75516,74737,74684,74206,73108
66000220,Taichung_DaanDistrict,臺中市,大安區,20605,20417,20308,20081,19910,19720,19654,19542,19409,19303,19267,19111,18864,18485,18230,18073,17793,17487
66000120,Taichung_QingshuiDistrict,臺中市,清水區,85770,85743,85620,85629,85734,86061,85957,86146,86350,86420,86862,87587,88009,88366,88947,89924,90501,90640
66000260,Taichung_WufengDistrict,臺中市,霧峰區,64228,63906,63975,63904,64183,64280,64496,64657,64898,65393,65619,65419,65094,64602,64091,63822,63342,62627
66000280,Taichung_DaliDistrict,臺中市,大里區,194550,196056,197716,200588,203239,204846,206318,208406,210285,211492,212104,212711,213117,212253,211469,212511,212166,211094
66000030,Taichung_SouthDistrict,臺中市,南區,111878,112722,113659,115032,116807,118349,120128,121786,123502,125067,125874,126571,126769,126008,125466,126907,127188,128309
66000230,Taichung_WuriDistrict,臺中市,烏日區,67970,68373,68709,69224,70068,70624,71520,72514,73647,74554,75372,75610,76494,77245,78122,80194,81284,82248
66000010,Taichung_CentralDistrict,臺中市,中區,23603,23228,22472,21610,20647,20008,19323,19020,18708,18450,18514,18390,18168,17689,17635,17784,17904,18029
66000040,Taichung_WestDistrict,臺中市,西區,117325,117390,117365,117210,116784,116397,115731,115693,115747,115627,115698,115273,114583,112740,112278,113548,113890,113288
66000070,Taichung_NantunDistrict,臺中市,南屯區,148206,150884,153779,155768,158300,159952,161906,164575,166685,168760,170618,173532,176062,176782,177930,182232,185192,186105
66000050,Taichung_NorthDistrict,臺中市,北區,147721,147529,147639,147679,147798,147880,147471,147547,147585,147653,147557,147391,146590,143917,142778,144097,143568,143537
66000060,Taichung_XitunDistrict,臺中市,西屯區,201333,203680,206536,209672,212750,215485,218540,221785,224601,227043,228630,230501,231730,230888,231866,235441,236821,238052
66000080,Taichung_BeitunDistrict,臺中市,北屯區,241990,244311,246880,249742,252668,255978,259742,265159,270547,274819,279297,283621,287344,290653,295677,304179,310965,317182
66000170,Taichung_TanziDistrict,臺中市,潭子區,98456,99677,100481,101781,103516,104471,105165,106557,107530,108288,108952,109324,109309,109270,108639,108979,109415,109314
66000020,Taichung_EastDistrict,臺中市,東區,74072,73891,73969,73960,74282,74572,74922,75182,75396,75811,76175,75943,75913,75588,75554,76852,77688,77745
66000270,Taichung_TaipingDistrict,臺中市,太平區,172363,172389,172965,174284,176594,178870,181537,183923,186271,189066,191752,193729,194970,195613,196011,198212,200007,201536
63000030,Taipei_DaanDistrict,臺北市,大安區,313848,311612,311565,313846,313426,313363,313693,313058,311506,309969,308843,307631,302644,291410,284557,291732,289908,282328
63000080,Taipei_WenshanDistrict,臺北市,文山區,261719,260869,262307,266442,269310,271341,273921,275367,275231,274424,273762,271806,268130,261576,257558,260313,258333,253822
63000020,Taipei_XinyiDistrict,臺北市,信義區,227770,225364,225092,226541,227734,228496,229657,229211,227823,225753,223406,220021,215240,207500,203780,206759,205067,201446
63000070,Taipei_WanhuaDistrict,臺北市,萬華區,190361,188437,189099,190855,192628,193480,194715,194339,193539,191850,189603,187076,183088,176617,173040,173652,171915,168675
63000050,Taipei_ZhongzhengDistrict,臺北市,中正區,159337,158752,159536,161449,162154,163140,163388,162475,160403,159608,159000,158014,155397,150644,148103,150155,148375,144109
63000010,Taipei_SongshanDistrict,臺北市,松山區,210097,207995,208434,209948,210905,210343,210473,209714,208326,206988,205702,204193,200316,193388,189939,193399,191826,187318
63000060,Taipei_DatongDistrict,臺北市,大同區,124653,123399,124600,126640,128809,129820,130973,130929,130071,129278,127625,126043,123849,120772,118833,119930,118992,116618
63000040,Taipei_ZhongshanDistrict,臺北市,中山區,218841,218245,220126,224102,226659,228753,230496,231350,231247,230710,229456,227387,223876,215567,212669,216346,215245,212152
63000110,Taipei_ShilinDistrict,臺北市,士林區,286065,283855,284539,287072,288894,289742,290455,290694,289939,288295,286544,283459,278451,269682,264716,266951,264194,258163
63000120,Taipei_BeitouDistrict,臺北市,北投區,249752,248047,249206,252290,254192,255444,257520,257862,257370,256456,255532,253319,250144,244750,240725,242510,240623,235678
63000090,Taipei_NangangDistrict,臺北市,南港區,113672,113149,114023,116131,118490,119752,121257,122245,122516,122155,121670,120297,118758,115780,113798,113959,112643,111239
63000100,Taipei_NeihuDistrict,臺北市,內湖區,266808,267704,270245,275652,280025,282842,285767,287566,287733,287771,287429,285795,282525,276707,272963,276180,273748,267959
10014020,Taitung_ChenggongTownship,臺東縣,成功鎮,16189,15984,15810,15542,15253,15051,14943,14652,14411,14238,14059,13748,13505,13330,13212,13078,12926,12754
10014110,Taitung_LudaoTownship,臺東縣,綠島鄉,3156,3331,3358,3400,3462,3580,3808,3775,3724,3926,4097,4045,4026,4124,4285,4373,4385,4327
10014160,Taitung_LanyuTownship,臺東縣,蘭嶼鄉,4025,4307,4499,4691,4870,4905,4976,5045,5083,5075,5157,5127,5249,5231,5263,5318,5277,5220
10014140,Taitung_JinfengTownship,臺東縣,金峰鄉,3329,3526,3560,3519,3520,3502,3669,3586,3612,3653,3739,3703,3699,3663,3713,3732,3687,3682
10014090,Taitung_TaimaliTownship,臺東縣,太麻里鄉,12136,12094,12014,11823,11669,11595,11507,11374,11304,11163,11147,10984,10925,10819,10744,10679,10569,10375
10014050,Taitung_LuyeTownship,臺東縣,鹿野鄉,8747,8676,8584,8403,8304,8229,8202,8107,8018,7951,7875,7744,7601,7482,7314,7193,7047,6924
10014060,Taitung_ChishangTownship,臺東縣,池上鄉,9366,9356,9196,9012,8824,8679,8591,8488,8375,8248,8199,8141,8073,7976,7995,7858,7696,7529
10014130,Taitung_YanpingTownship,臺東縣,延平鄉,3566,3621,3599,3560,3551,3552,3614,3575,3523,3551,3628,3540,3549,3591,3630,3567,3557,3547
10014010,Taitung_TaitungCity,臺東縣,臺東市,109839,109576,108870,108310,107720,107316,106929,106759,106368,105960,105573,105202,104803,103943,103252,103281,103115,102681
10014040,Taitung_BeinanTownship,臺東縣,卑南鄉,18324,18379,18231,18055,17834,17763,17700,17507,17443,17399,17269,17132,16961,16833,16846,16601,16472,16264
10014070,Taitung_DongheTownship,臺東縣,東河鄉,9532,9523,9329,9222,9108,8992,9000,8847,8686,8517,8479,8349,8203,8106,8060,7896,7822,7710
10014150,Taitung_DarenTownship,臺東縣,達仁鄉,3722,4103,4095,3965,3832,3762,3721,3589,3524,3518,3580,3499,3489,3437,3482,3439,3409,3437
10014100,Taitung_DawuTownship,臺東縣,大武鄉,6890,7160,7012,6790,6632,6531,6565,6324,6238,6117,6046,5851,5727,5635,5635,5553,5465,5327
10014030,Taitung_GuanshanTownship,臺東縣,關山鎮,9880,9849,9715,9559,9425,9268,9111,8923,8811,8742,8703,8575,8420,8274,8165,8052,7954,7757
10014120,Taitung_HaiduanTownship,臺東縣,海端鄉,4537,4535,4510,4408,4379,4363,4378,4322,4283,4222,4186,4120,4105,4151,4222,4275,4300,4317
10014080,Taitung_ChangbinTownship,臺東縣,長濱鄉,8611,8477,8291,8031,7869,7733,7756,7579,7399,7260,7182,7021,6926,6791,6733,6649,6538,6469
67000010,Tainan_XinyingDistrict,臺南市,新營區,78715,78233,78105,78473,78475,78521,78231,78165,78101,77966,77617,76969,76331,75506,74908,74921,74782,74493
67000020,Tainan_YanshuiDistrict,臺南市,鹽水區,27585,27321,27160,26891,26695,26426,26322,26085,25871,25583,25395,25223,25001,24777,24452,24251,23969,23635
67000030,Tainan_BaiheDistrict,臺南市,白河區,31926,31735,31395,30947,30602,30178,29731,29271,28819,28520,28105,27688,27245,26693,26203,25862,25393,24948
67000050,Tainan_HoubiDistrict,臺南市,後壁區,26294,26163,25884,25569,25280,24910,24589,24329,24066,23718,23346,23001,22755,22322,21891,21616,21292,20840
67000070,Tainan_MadouDistrict,臺南市,麻豆區,46164,46089,45795,45609,45377,45230,45067,44987,44812,44603,44260,43993,43713,43373,42933,43056,43036,42873
67000080,Tainan_XiayingDistrict,臺南市,下營區,26612,26411,26119,25803,25612,25333,25068,24786,24508,24239,23916,23686,23452,23062,22635,22420,22077,21742
67000090,Tainan_LiujiaDistrict,臺南市,六甲區,24211,23984,23694,23509,23346,23151,22832,22586,22406,22275,22148,21886,21668,21488,21342,21189,21110,20880
67000100,Tainan_GuantianDistrict,臺南市,官田區,22529,22455,22212,21965,21912,21823,21706,21685,21535,21448,21314,21371,21212,21035,20849,20835,20669,20527
67000110,Tainan_DaneiDistrict,臺南市,大內區,11205,11093,10899,10674,10537,10408,10248,10054,9962,9761,9605,9391,9200,9048,8847,8728,8588,8427
67000120,Tainan_JialiDistrict,臺南市,佳里區,59329,59464,59269,59155,59289,59372,59533,59555,59458,59380,59083,59089,58785,58482,58063,58232,58470,58328
67000130,Tainan_XuejiaDistrict,臺南市,學甲區,28313,28173,27864,27583,27414,27167,26949,26652,26377,26078,25665,25501,25293,24981,24749,24672,24537,24365
67000140,Tainan_XigangDistrict,臺南市,西港區,25415,25357,25200,25069,25034,24914,24896,24921,24870,24758,24690,24554,24522,24495,24713,24990,25004,24811
